hs_code,description,mfn_rate
0210993910,"Fjerkrækød henhørende under pos. 0207, saltet eller i saltlage",1.3
0210993990,Andre varer,1.3
0210994100,Lever(Svinekød),0.649
0210994900,Andre varer(Svinekød),0.472
0210995110,af bisonokse,0.154
0210995190,Andre varer,0.154
0210995910,af bisonokse,0.128
0210995990,Andre varer,0.128
0210997100,"Lever af overfedede gæs og ænder (""foies gras""), saltede eller i saltlage(Fjerkrækød)",0.0
0210997900,Andre varer(Fjerkrækød),0.064
0210998510,Af får og geder(Fåre- og gedekød),0.154
0210998590,"Andre varer(Visse varer, der er anført i bilag I til traktaten)",0.154
0210999010,Af tamsvin og hornkvæg,0.154
0210999090,Andre varer,0.154
0301110000,Ferskvandsfisk,0.0
0301190000,Andre akvariefisk,0.075
0301911000,Af arterne Oncorhynchus apache og Oncorhynchus chrysogaster,0.08
0301919011,"Af vægt pr. stk. højst 1,2 kg",0.12
0301919019,I andre tilfælde,0.12
0301919090,I andre tilfælde,0.12
0301921000,Af længde under 12|cm,0.0
0301923000,"Af længde 12|cm og derover, men under 20|cm",0.0
0301929000,Af længde 20|cm og derover,0.0
0301930000,"Karpe (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",0.08
0301941000,Atlantisk tun (Thunnus thynnus),0.16
0301949000,Stillehavstun (Thunnus orientalis),0.16
0301950000,Sydlig tun (Thunnus maccoyii),0.16
0301991140,Atlanterhavslaks (Salmo salar),0.02
0301991180,Andre laksefisk,0.02
0301991700,Andre ferskvandsfisk,0.08
0301998510,Hajer (Squalus-arter),0.16
0301998522,Havbars (Dicentrarchus labrax),0.16
0301998530,Sildehaj (Lamna nasus),0.16
0301998540,Hellefisk (Reinhardtius hippoglossoides),0.16
0301998550,Atlanterhavshelleflynder (Hippoglossus hippoglossus),0.16
0301998560,Guldbrasen (Sparus aurata),0.16
0301998570,Sværdfisk (Xiphias gladius),0.16
0301998575,Storøjet tun (Thunnus obesus),0.16
0301998580,Blankesteen (Dentex dentex og Pagellus-arter),0.16
0301998590,Andre fisk,0.16
